,Radius,Density,Uncertainty
40,0.4856339659494835,24402412.3354487,9223244.918521734
41,0.49923434151493595,58437863.192539714,22087436.16535359
42,0.5049446200633927,104093506.91579902,39343647.485112324
43,0.511994664686321,39810561.03318702,15046977.721110206
44,0.5192056907373372,80941787.41113715,30593120.023275353
45,0.5272771105892553,36429780.45328416,13769162.770867394
46,0.537612903536687,43519011.20002026,16448640.134098314
47,0.5477634939491824,34884373.35187471,13185053.790198453
48,0.5559904469161694,61331872.55778814,23181268.88997348
49,0.5647030340036108,30177537.16996692,11406036.933162913
50,0.5748054312121478,43055063.33760344,16273284.324776184
51,0.5811928334957182,74291456.71702407,28079531.287137818
52,0.5858656599553538,62588219.28383249,23656123.318199698
53,0.5924379097285535,39242243.91593388,14832174.0413855
54,0.6002493243650086,44694916.89998502,16893090.712294042
55,0.6081681535659506,36312097.58895732,13724682.829069883
56,0.6175976594149146,29741901.790288784,11241382.23645869
57,0.6259890637394141,45123138.95918224,17054943.437229443
58,0.6304390836724237,124664918.46115212,47118910.20890764
59,0.636854460826257,23909457.54828059,9036925.522172363
60,0.6454361343579118,41719184.03782677,15768369.409232158
61,0.6508016923375665,59356737.65487877,22434738.067273207
62,0.6563098083291894,38694997.28098145,14625334.255399633
63,0.6643536293325655,25388069.372479785,9595788.261091024
64,0.671735327517013,45620191.17244668,17242811.51507401
65,0.6791052795782045,27618456.8817814,10438795.500650572
66,0.6889660429700823,23016111.97832927,8699272.634610584
67,0.6979654771852004,32246801.911068972,12188145.490550125
68,0.7047721902345836,32788350.47387965,12392831.607701767
69,0.7126841231607367,20806617.189298447,7864162.101057916
70,0.7196734358999124,51065970.49683782,19301122.62754205
71,0.7283713983081156,16802435.483598694,6350723.67282992
72,0.7380184465562254,33889329.019178025,12808962.383369934
73,0.7469815991752079,17852537.643800266,6747624.982416359
74,0.759357856024684,15342623.175040513,5798966.482933344
75,0.7705439159854817,21089229.205401372,7970979.402790333
76,0.7771815632931683,47852526.17641761,18086554.83842993
77,0.7824714210725425,28846063.25955128,10902787.09828713
78,0.7891266257615002,20804143.860250406,7863227.2705476945
79,0.795987250908637,26233541.86694425,9915346.826905081
