Halo Number,DataPoints,Virial Radius,NFW Scale Density,NFW Scale Radius,NFW Scale Density Uncertainty,NFW Scale Radius Uncertainty,NFW ChiSquare,NFW P-Value,Einasto Scale Density,Einasto Scale Radius,Einasto Scale Density Uncertainty,Einasto Scale Radius Uncertainty,Einasto ChiSquare,Einasto P-Value
81,51,30.053710837630103,15122402.094571419,4.309463086210479,987726.274046302,0.11786557735582924,313.67689846651035,1.0509324832683225e-43,10508.014756455459,46.03350153228292,1090.1532369261595,2.0287960014867483,671.9860993740965,4.330119381054693e-115
83,51,23.467060445476847,109560097.91726463,2.111872078461992,27040679.77694699,0.20861915969383807,7276.515953625631,0.0,86165.28835235549,21.30695179129594,22387.89259609133,2.2003626128502147,8466.12392672117,0.0
84,51,25.11695737338411,128243308.0772656,2.0207557638026366,27229035.86361635,0.1705258123794643,5064.177243226912,0.0,99091.72333925936,20.597159884170015,21578.664346959427,1.7662693003445888,5820.026563452784,0.0
85,51,21.520401187526527,107441364.99938802,2.0283347765164406,28980212.05364235,0.21987712962494632,7001.311808386831,0.0,85034.0277802599,20.445938579260588,23327.036533673385,2.2408053232352563,7673.885387661069,0.0
86,51,26.19548681753689,100653633.85374768,2.1791422682313755,12701942.749205647,0.1097261673926098,1519.763447949685,3.6220918996366282e-289,74357.14963537229,22.649407278548818,10045.314984159411,1.214202259409687,1869.7330145851315,0.0
88,51,25.93367553755952,47357218.214421436,2.52905541240224,2765478.207827658,0.059711012621745684,192.66535023158093,1.6247274416293597e-21,33619.20903974207,26.71129968970344,2898.4820813434817,0.9333193271083146,411.83716627214596,9.950127957965706e-63
89,51,27.98424652028517,74923070.81449406,2.3750012879218936,6529586.084335916,0.0827223294846076,672.6955039766192,8.007320135589567e-113,53977.76180446813,24.935236058494155,5596.871704658122,1.0299554203754042,998.3771099834595,7.241784903143218e-180
90,51,16.446607246576527,551273184.6709926,0.9086552375263529,225181437.10080814,0.1436640634429353,11354.233898787672,0.0,499338.94876611925,8.854902560733647,170369.32765453216,1.1320020894653202,10551.820617004443,0.0
91,51,22.56783656427026,149371824.8229142,1.673358867567473,28118652.616138123,0.12450962955152459,2772.820315527071,0.0,115440.47372081758,17.076689878368207,22130.51545946454,1.2776738685620048,3216.950847625909,0.0
92,51,9.85181045779844,1052091763.3882225,0.4719002081750521,775237790.2702127,0.13311274648632113,13067.459751948134,0.0,1134500.2282849976,4.470087940058006,615935.0101782039,0.8844237936021074,11720.441380168046,0.0
